PING 130.149.17.21 (130.149.17.21) 56(84) bytes of data.
64 bytes from 130.149.17.21: icmp_seq=207 ttl=43 time=175 ms
64 bytes from 130.149.17.21: icmp_seq=208 ttl=43 time=550 ms
64 bytes from 130.149.17.21: icmp_seq=209 ttl=43 time=276 ms
64 bytes from 130.149.17.21: icmp_seq=210 ttl=43 time=290 ms
64 bytes from 130.149.17.21: icmp_seq=211 ttl=43 time=177 ms
64 bytes from 130.149.17.21: icmp_seq=212 ttl=43 time=258 ms
64 bytes from 130.149.17.21: icmp_seq=213 ttl=43 time=287 ms
64 bytes from 130.149.17.21: icmp_seq=214 ttl=43 time=263 ms
64 bytes from 130.149.17.21: icmp_seq=215 ttl=43 time=406 ms
64 bytes from 130.149.17.21: icmp_seq=216 ttl=43 time=366 ms
64 bytes from 130.149.17.21: icmp_seq=217 ttl=43 time=374 ms
64 bytes from 130.149.17.21: icmp_seq=218 ttl=43 time=431 ms
64 bytes from 130.149.17.21: icmp_seq=219 ttl=43 time=398 ms
64 bytes from 130.149.17.21: icmp_seq=220 ttl=43 time=422 ms
64 bytes from 130.149.17.21: icmp_seq=221 ttl=43 time=398 ms
64 bytes from 130.149.17.21: icmp_seq=222 ttl=43 time=264 ms
64 bytes from 130.149.17.21: icmp_seq=223 ttl=43 time=397 ms
64 bytes from 130.149.17.21: icmp_seq=224 ttl=43 time=516 ms
64 bytes from 130.149.17.21: icmp_seq=225 ttl=43 time=358 ms
64 bytes from 130.149.17.21: icmp_seq=226 ttl=43 time=358 ms
64 bytes from 130.149.17.21: icmp_seq=227 ttl=43 time=325 ms
64 bytes from 130.149.17.21: icmp_seq=228 ttl=43 time=405 ms
64 bytes from 130.149.17.21: icmp_seq=229 ttl=43 time=281 ms
64 bytes from 130.149.17.21: icmp_seq=230 ttl=43 time=320 ms
64 bytes from 130.149.17.21: icmp_seq=231 ttl=43 time=425 ms
64 bytes from 130.149.17.21: icmp_seq=232 ttl=43 time=330 ms
64 bytes from 130.149.17.21: icmp_seq=233 ttl=43 time=317 ms
64 bytes from 130.149.17.21: icmp_seq=234 ttl=43 time=341 ms
64 bytes from 130.149.17.21: icmp_seq=235 ttl=43 time=321 ms
64 bytes from 130.149.17.21: icmp_seq=236 ttl=43 time=252 ms
64 bytes from 130.149.17.21: icmp_seq=237 ttl=43 time=230 ms
64 bytes from 130.149.17.21: icmp_seq=238 ttl=43 time=535 ms
64 bytes from 130.149.17.21: icmp_seq=239 ttl=43 time=244 ms
64 bytes from 130.149.17.21: icmp_seq=240 ttl=43 time=234 ms
64 bytes from 130.149.17.21: icmp_seq=241 ttl=43 time=198 ms
64 bytes from 130.149.17.21: icmp_seq=242 ttl=43 time=378 ms
64 bytes from 130.149.17.21: icmp_seq=243 ttl=43 time=361 ms
64 bytes from 130.149.17.21: icmp_seq=244 ttl=43 time=374 ms
64 bytes from 130.149.17.21: icmp_seq=245 ttl=43 time=304 ms
64 bytes from 130.149.17.21: icmp_seq=246 ttl=43 time=317 ms
64 bytes from 130.149.17.21: icmp_seq=247 ttl=43 time=201 ms
64 bytes from 130.149.17.21: icmp_seq=248 ttl=43 time=184 ms
64 bytes from 130.149.17.21: icmp_seq=249 ttl=43 time=204 ms
64 bytes from 130.149.17.21: icmp_seq=250 ttl=43 time=186 ms
64 bytes from 130.149.17.21: icmp_seq=251 ttl=43 time=213 ms
64 bytes from 130.149.17.21: icmp_seq=252 ttl=43 time=198 ms
